交通类型代码,交通类型中文,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,地铁,227,13.720193781,100.457212776,15
1,地铁,227,13.720193781072197,100.45721277613147,16
1,地铁,227,13.724607751,100.465250015,17
1,地铁,227,13.724607751,100.465250015,18
1,地铁,227,13.724607751166763,100.46525001529658,19
1,地铁,227,13.72957989,100.474092935,20
1,地铁,227,13.72957989,100.474092935,21
1,地铁,227,13.729660003,100.474235415,22
1,地铁,227,13.731388792,100.477266312,23
1,地铁,227,13.732044086,100.477991849,24
1,地铁,227,13.734472439,100.479480475,25
1,地铁,227,13.736680603,100.480915457,26
1,地铁,227,13.737368451,100.48260659,27
1,地铁,227,13.738399984,100.484980484,28
1,地铁,227,13.738399984,100.484980484,29
1,地铁,227,13.738535705,100.485292822,30
1,地铁,227,13.743361949,100.49485607,31
1,地铁,227,13.743361949338974,100.49485607067166,32
1,地铁,227,13.743368802,100.494869649,33
1,地铁,227,13.745373661,100.4990834,34
1,地铁,227,13.747052831,100.502660125,35
1,地铁,227,13.747038502,100.50296858,36
1,地铁,227,13.7469408,100.503168404,37
1,地铁,227,13.7469408,100.503168404,38
1,地铁,227,13.746940799956949,100.50316840406067,39
1,地铁,227,13.742316211025557,100.50968617196398,40
1,地铁,227,13.742316211,100.509686172,41
1,地铁,227,13.742316211,100.509686172,42
1,地铁,227,13.739885334,100.51339969,43
1,地铁,227,13.738617777,100.515255779,44
1,地铁,227,13.738129251,100.516012162,45
1,地铁,227,13.737621412,100.517111571,46
1,地铁,227,13.737621412,100.517111571,47
1,地铁,227,13.73762141191988,100.51711157116695,48
1,地铁,227,13.737293412,100.517795063,49
1,地铁,227,13.735239265,100.522797873,50
1,地铁,227,13.732903914,100.528239012,51
1,地铁,227,13.732420587,100.529381633,52
1,地铁,227,13.732415993272518,100.52939275234036,53
1,地铁,227,13.732415993,100.529392753,54
1,地铁,227,13.731412242,100.531822443,55
1,地铁,227,13.72914514,100.537260941,56
