交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
2,铁路,5,SRTET,ARL,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link Airport Rail Link,2,E32020,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน,Airport Rail Link,素万那普机场捷运（ARL）,公开常见中文功能名（非官方）,https://www.transit.land/routes/r-w4rw-arl
2,铁路,60,SRT,281,กรุงเทพ - กบินทร์บุรี;Bangkok - Kabin Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - กบินทร์บุรี,Bangkok - Kabin Buri,,未提供中文；保留泰文/英文原名,
2,铁路,61,SRT,282,กบินทร์บุรี - กรุงเทพ;Kabin Buri - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กบินทร์บุรี - กรุงเทพ,Kabin Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,62,SRT,283,กรุงเทพ - บ้านพลูตาหลวง;Bangkok - Ban Plu Ta Luang,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - บ้านพลูตาหลวง,Bangkok - Ban Plu Ta Luang,,未提供中文；保留泰文/英文原名,
2,铁路,63,SRT,284,บ้านพลูตาหลวง - กรุงเทพ;Ban Plu Ta Luang - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,บ้านพลูตาหลวง - กรุงเทพ,Ban Plu Ta Luang - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,64,SRT,285,กรุงเทพ - ชุมทางฉะเชิงเทรา;Bangkok - Chachoengsao Junction,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - ชุมทางฉะเชิงเทรา,Bangkok - Chachoengsao Junction,,未提供中文；保留泰文/英文原名,
2,铁路,65,SRT,286,ชุมทางฉะเชิงเทรา - กรุงเทพ;Chachoengsao Junction - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ชุมทางฉะเชิงเทรา - กรุงเทพ,Chachoengsao Junction - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,66,SRT,301,กรุงเทพ - ลพบุรี;Bangkok - Lop Buri,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - ลพบุรี,Bangkok - Lop Buri,,未提供中文；保留泰文/英文原名,
2,铁路,67,SRT,302,ลพบุรี - กรุงเทพ;Lop Buri - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ลพบุรี - กรุงเทพ,Lop Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,68,SRT,303,กรุงเทพ (หัวลำโพง) - ลพบุรี;Bangkok (Hua Lamphong) - Lop Buri,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,b22222,กรุงเทพ (หัวลำโพง) - ลพบุรี,Bangkok (Hua Lamphong) - Lop Buri,,未提供中文；保留泰文/英文原名,
2,铁路,69,SRT,304,ลพบุรี - กรุงเทพ;Lop Buri - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ลพบุรี - กรุงเทพ,Lop Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,72,SRT,311,กรุงเทพ - รังสิต;Bangkok - Rangsit,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - รังสิต,Bangkok - Rangsit,,未提供中文；保留泰文/英文原名,
2,铁路,73,SRT,313,กรุงเทพ - ชุมทางบ้านภาชี;Bangkok - Ban Phachi Junction,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - ชุมทางบ้านภาชี,Bangkok - Ban Phachi Junction,,未提供中文；保留泰文/英文原名,
2,铁路,74,SRT,314,ชุมทางบ้านภาชี - กรุงเทพ;Ban Phachi Junction - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ชุมทางบ้านภาชี - กรุงเทพ,Ban Phachi Junction - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,77,SRT,317,กรุงเทพ - ลพบุรี;Bangkok - Lop Buri,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - ลพบุรี,Bangkok - Lop Buri,,未提供中文；保留泰文/英文原名,
2,铁路,78,SRT,318,ลพบุรี - กรุงเทพ;Lop Buri - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ลพบุรี - กรุงเทพ,Lop Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,79,SRT,339,กรุงเทพ - ชุมทางแก่งคอย;Bangkok - Kaeng Khoi Junction,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - ชุมทางแก่งคอย,Bangkok - Kaeng Khoi Junction,,未提供中文；保留泰文/英文原名,
2,铁路,80,SRT,340,ชุมทางแก่งคอย - กรุงเทพ;Kaeng Khoi Junction - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ชุมทางแก่งคอย - กรุงเทพ,Kaeng Khoi Junction - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,81,SRT,341,กรุงเทพ - ชุมทางแก่งคอย;Bangkok - Kaeng Khoi Junction,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,กรุงเทพ - ชุมทางแก่งคอย,Bangkok - Kaeng Khoi Junction,,未提供中文；保留泰文/英文原名,
2,铁路,82,SRT,342,ชุมทางแก่งคอย - กรุงเทพ;Kaeng Khoi Junction - Bangkok,รถไฟแห่งประเทศไทย รถชานเมือง ชั้น 3;State Railway of Thailand City 3,2,B22222,ชุมทางแก่งคอย - กรุงเทพ,Kaeng Khoi Junction - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,83,SRT,351,ธนบุรี - ราชบุรี;Thon Buri - Rachaburi,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ธนบุรี - ราชบุรี,Thon Buri - Rachaburi,,未提供中文；保留泰文/英文原名,
2,铁路,84,SRT,352,ราชบุรี - ธนบุรี;Rachaburi - Thon Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ราชบุรี - ธนบุรี,Rachaburi - Thon Buri,,未提供中文；保留泰文/英文原名,
2,铁路,85,SRT,355,กรุงเทพ - สุพรรณบุรี;Bangkok - Suphan Buri,รถไฟแห่งประเทศไทย รถพิเศษชานเมือง ชั้น 3;State Railway of Thailand Specail City 3,2,B22222,กรุงเทพ - สุพรรณบุรี,Bangkok - Suphan Buri,,未提供中文；保留泰文/英文原名,
2,铁路,86,SRT,356,สุพรรณบุรี - กรุงเทพ;Suphan Buri - Bangkok,รถไฟแห่งประเทศไทย รถพิเศษชานเมือง ชั้น 3;State Railway of Thailand Specail City 3,2,B22222,สุพรรณบุรี - กรุงเทพ,Suphan Buri - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,87,SRT,367,กรุงเทพ - ชุมทางฉะเชิงเทรา;Bangkok - Chachoengsao Junction,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - ชุมทางฉะเชิงเทรา,Bangkok - Chachoengsao Junction,,未提供中文；保留泰文/英文原名,
2,铁路,88,SRT,368,ชุมทางฉะเชิงเทรา - กรุงเทพ;Chachoengsao Junction - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ชุมทางฉะเชิงเทรา - กรุงเทพ,Chachoengsao Junction - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,89,SRT,371,กรุงเทพ - ปราจีนบุรี;Bangkok - Prachin Buri,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,กรุงเทพ - ปราจีนบุรี,Bangkok - Prachin Buri,,未提供中文；保留泰文/英文原名,
2,铁路,90,SRT,372,ปราจีนบุรี - กรุงเทพ;Prachin Buri - Bangkok,รถไฟแห่งประเทศไทย รถธรรมดา ชั้น 3;State Railway of Thailand Normal 3,2,B22222,ปราจีนบุรี - กรุงเทพ,Prachin Buri - Bangkok,,未提供中文；保留泰文/英文原名,
