交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
2,铁路,43,3,155,กรุงเทพ;Bangkok,1,137,2,กรุงเทพ,Bangkok
2,铁路,45,3,156,ธนบุรี;Thon Buri,1,138,2,ธนบุรี,Thon Buri
2,铁路,46,3,157,ธนบุรี;Thon Buri,1,139,2,ธนบุรี,Thon Buri
2,铁路,49,3,158,ธนบุรี;Thon Buri,1,140,2,ธนบุรี,Thon Buri
2,铁路,51,3,159,ธนบุรี;Thon Buri,1,141,2,ธนบุรี,Thon Buri
2,铁路,69,3,160,กรุงเทพ;Bangkok,1,142,2,กรุงเทพ,Bangkok
2,铁路,84,3,161,ธนบุรี;Thon Buri,1,143,2,ธนบุรี,Thon Buri
2,铁路,86,3,162,กรุงเทพ;Bangkok,1,144,2,กรุงเทพ,Bangkok
2,铁路,80,5,163,กรุงเทพ;Bangkok,1,145,2,กรุงเทพ,Bangkok
2,铁路,82,5,164,กรุงเทพ;Bangkok,1,146,2,กรุงเทพ,Bangkok
2,铁路,7,3,165,รังสิต;Rangsit,0,147,2,รังสิต,Rangsit
2,铁路,9,3,166,รังสิต;Rangsit,0,148,2,รังสิต,Rangsit
2,铁路,11,3,167,รังสิต;Rangsit,0,149,2,รังสิต,Rangsit
2,铁路,14,3,168,รังสิต;Rangsit,0,150,2,รังสิต,Rangsit
2,铁路,15,3,169,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,151,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,16,3,170,เชียงราก;Chiang Rak,0,152,2,เชียงราก,Chiang Rak
2,铁路,17,3,171,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,153,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,18,3,172,รังสิต;Rangsit,0,154,2,รังสิต,Rangsit
2,铁路,20,3,174,รังสิต;Rangsit,0,156,2,รังสิต,Rangsit
