交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
4,轮渡,2552,SST,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2553,SST,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2554,SA,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2555,CT,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2556,BS,เกาะพีพี - ภูเก็ต,เกาะพีพี - ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,เกาะพีพี - ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2557,BS,ท่าเรือศาลาด่าน - เกาะพีพี,ศาลาด่าน - เกาะพีพี;Sala Dan - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ศาลาด่าน - เกาะพีพี,Sala Dan - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2558,LTP,ท่าเรือศาลาด่าน - เกาะพีพี,ท่าเรือศาลาด่าน - เกาะพีพี;Sala Dan - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือเฟอรี่;krabi boat ferry,4,13A949,ท่าเรือศาลาด่าน - เกาะพีพี,Sala Dan - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2559,TL,ท่าเรือศาลาด่าน - เกาะพีพี,ท่าเรือศาลาด่าน - เกาะพีพี;Sala Dan - Phi Phi Islands,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเรือศาลาด่าน - เกาะพีพี,Sala Dan - Phi Phi Islands,,未提供中文；保留泰文/英文原名,
4,轮渡,2560,PPSM,เกาะพีพี - ภูเก็ต,เกาะพีพี - ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี - ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2561,PPCS,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2562,PS1,ท่าเรืออ่าวท่าเลน-เกาะยาว,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย;Ao Thalane Pier - Koh Yao Noi,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย,Ao Thalane Pier - Koh Yao Noi,,未提供中文；保留泰文/英文原名,
4,轮渡,2563,PS2,ท่าเรืออ่าวท่าเลน-เกาะยาว,ท่าเรืออ่าวท่าเลน-เกาะยาวใหญ่;Ao Thalane Pier  - Koh Yao Yai,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13D6D5,ท่าเรืออ่าวท่าเลน-เกาะยาวใหญ่,Ao Thalane Pier  - Koh Yao Yai,,未提供中文；保留泰文/英文原名,
4,轮渡,2564,PS3,ท่าเรืออ่าวท่าเลน-เกาะยาว,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย;Ao Thalane Pier - Koh Yao Noi,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย,Ao Thalane Pier - Koh Yao Noi,,未提供中文；保留泰文/英文原名,
4,轮渡,2565,PS4,ท่าเรืออ่าวท่าเลน-เกาะยาว,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย;Ao Thalane Pier - Koh Yao Noi,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย,Ao Thalane Pier - Koh Yao Noi,,未提供中文；保留泰文/英文原名,
4,轮渡,2566,PS5,ท่าเรืออ่าวท่าเลน-เกาะยาว,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย;Ao Thalane Pier - Koh Yao Noi,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,ท่าเรืออ่าวท่าเลน-เกาะยาวน้อย,Ao Thalane Pier - Koh Yao Noi,,未提供中文；保留泰文/英文原名,
4,轮渡,2567,TL,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2568,SPS,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2569,PPL,เกาะพีพี-ภูเก็ต,เกาะพีพี-ภูเก็ต;Phi Phi Islands - Phuket,เรือโดยสารจังหวัดกระบี่ เรือสปีดโบ๊ท;krabi boat ferry,4,13d6d5,เกาะพีพี-ภูเก็ต,Phi Phi Islands - Phuket,,未提供中文；保留泰文/英文原名,
4,轮渡,2691,TSB (BOAT),City Line,สาทร - พระปิ่นเกล้า;Sathorn - Phra Pinklao,ไทย สมายล์ โบ้ท เรือโดยสารสายสีเขียว;Thai Smile Boat City Line,4,04B54F,สาทร - พระปิ่นเกล้า,Sathorn - Phra Pinklao,,未提供中文；保留泰文/英文原名,
4,轮渡,2693,TSB (BOAT),Urban Line,พระนั่งเกล้า - สาทร;Phra Nang Klao - Sathorn,ไทย สมายล์ โบ้ท เรือโดยสารสายสีม่วง;Thai Smile Boat Urban Line,4,a009fd,พระนั่งเกล้า - สาทร,Phra Nang Klao - Sathorn,,未提供中文；保留泰文/英文原名,
4,轮渡,2715,ST,เรือด่วนธงเหลือง (กลางวัน),เรือด่วนธงเหลือง (กลางวัน);Yellow line (Day),เรือด่วนเจ้าพระยา เรือด่วนสายสีเหลือง;Chao Phraya Express Boat Yellow line,4,ffcc00,เรือด่วนธงเหลือง (กลางวัน),Yellow line (Day),,未提供中文；保留泰文/英文原名,
